# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
SLC25A42	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19174803;19206900;19212590;19215722;19216370;19217078;19218703;19221378	19174924;19207014;19212695;19215747;19216536;19217194;19218854;19223704	+;+;+;+;+;+;+;+	3132	0	0
TMEM161A	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19230425;19230425;19231574;19231574;19231801;19231801;19232117;19232117;19232334;19232334;19232568;19232568;19240965;19243161;19243466;19243466;19243939;19243939;19245593;19245593;19249235;19249235	19230992;19230992;19231670;19231670;19231975;19231975;19232230;19232230;19232477;19232477;19232628;19232628;19241116;19243317;19243563;19243563;19244019;19244019;19245696;19245696;19249310;19249310	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1827	0	0
MEF2B	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19256376;19257082;19257364;19257551;19257845;19258507;19260035;19261491;19281014	19256831;19257193;19257457;19257684;19257992;19258641;19260238;19261573;19281098	-;-;-;-;-;-;-;-;-	1451	0	0
MEF2BNB-MEF2B	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19256376;19256376;19256376;19257082;19257364;19257364;19257364;19257551;19257551;19257551;19257845;19257845;19257845;19258507;19258507;19258507;19260035;19260035;19260035;19261491;19261491;19261491;19291495;19291495;19291495;19293382;19293382;19293382;19296843;19296843;19297702;19297702;19302890;19302890;19302890	19256831;19256831;19256831;19257193;19257457;19257457;19257457;19257684;19257684;19257684;19257992;19257992;19257992;19258641;19258641;19258641;19260238;19260238;19260238;19261573;19261573;19261573;19291570;19291570;19291570;19293492;19293492;19293492;19296907;19296907;19297814;19297814;19303400;19303400;19303400	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2242	0	0
MEF2BNB	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19287713;19291495;19292685;19293382;19296843;19296843;19297702;19297702;19302890;19302890	19288269;19291570;19293492;19293492;19296907;19296907;19297814;19297814;19303400;19303400	-;-;-;-;-;-;-;-;-;-	2130	0	0
RFXANK	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19303008;19303008;19303769;19303769;19304748;19304748;19307772;19307775;19307995;19308330;19308330;19308916;19308916;19309466;19309466;19309963;19309963;19312458;19312458	19303363;19303363;19303909;19303909;19304942;19304942;19307855;19307855;19308060;19308430;19308430;19309041;19309041;19309532;19309532;19310043;19310043;19312678;19312678	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1438	0	0
NR2C2AP	chr19;chr19;chr19;chr19;chr19	19312224;19313140;19313279;19313600;19313832	19312850;19313207;19313384;19313690;19314238	-;-;-;-;-	1299	0	0
NCAN	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19322782;19327756;19329724;19334830;19335115;19335786;19337295;19338090;19344598;19345792;19349062;19351412;19356122;19359509;19360575	19322873;19327835;19330125;19335004;19335242;19336079;19337882;19339448;19344714;19345905;19349220;19351494;19356266;19359691;19363061	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6406	0	0
HAPLN4	chr19;chr19;chr19;chr19;chr19	19366452;19369332;19371622;19372255;19373539	19369017;19369664;19371984;19372372;19373596	-;-;-;-;-	3438	0	0
TM6SF2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19375174;19377299;19378430;19378795;19379439;19380496;19380982;19381154;19381831;19383930	19375682;19377418;19378522;19378896;19379563;19380578;19381085;19381251;19381934;19384074	-;-;-;-;-;-;-;-;-;-	1483	0	0
SUGP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19387322;19387756;19388543;19389499;19390022;19390994;19407798;19413074;19414157;19414533;19416658;19420906;19427231;19431272	19387483;19387885;19388688;19389605;19390199;19391100;19408153;19413197;19414257;19414656;19416885;19421009;19427402;19431321	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2089	0	0
MAU2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19431630;19446527;19446931;19447979;19449654;19451655;19452061;19453344;19453585;19454646;19455658;19456113;19458089;19459698;19459964;19460134;19465164;19466073;19466517	19431944;19446544;19446996;19448074;19449748;19451682;19452216;19453490;19453675;19454749;19455735;19456178;19458175;19459747;19460041;19460245;19465254;19466200;19469563	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4853	0	0
GATAD2A	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19496642;19576149;19603115;19603390;19605103;19606563;19606861;19609252;19611930;19612778;19613140;19616153	19496947;19576423;19603247;19603521;19605192;19606694;19607028;19609531;19612225;19612852;19613335;19619741	+;+;+;+;+;+;+;+;+;+;+;+	5672	0	0
TSSK6	chr19	19625028	19626469	-	1442	0	0
NDUFA13	chr19;chr19;chr19;chr19;chr19	19627019;19636991;19638090;19638510;19638816	19627141;19637069;19638161;19638579;19639013	+;+;+;+;+	542	0	0
YJEFN3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19639670;19639670;19640173;19643441;19643441;19645843;19645843;19646146;19646146;19646338;19646338;19648128;19648128	19639800;19639800;19640322;19643549;19643549;19645953;19645953;19646259;19646259;19646488;19646488;19648393;19648393	+;+;+;+;+;+;+;+;+;+;+;+;+	1032	0	0
CILP2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19649074;19650488;19651013;19651900;19653184;19653673;19654057;19654490	19649222;19650586;19651285;19652055;19653459;19653781;19654214;19657468	+;+;+;+;+;+;+;+	4199	0	0
PBX4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19672516;19672516;19674318;19674318;19675742;19675742;19680258;19680258;19680918;19680918;19681395;19681496;19710101;19710101;19729320;19729320	19672926;19672926;19674424;19674424;19675898;19675898;19680393;19680393;19681108;19681108;19681642;19681642;19710174;19710174;19729725;19729725	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1730	0	0
LPAR2	chr19;chr19;chr19	19734466;19737352;19738901	19735378;19738093;19739039	-;-;-	1794	0	0
GMIP	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19740285;19741280;19744612;19745316;19745601;19745834;19746224;19746453;19747516;19747726;19748174;19748729;19748968;19749211;19750894;19751105;19751255;19752619;19752785;19753344;19754320	19741145;19741346;19744999;19745512;19745738;19746022;19746378;19746530;19747605;19747838;19748370;19748866;19749138;19749291;19751001;19751169;19751380;19752676;19752860;19753428;19754455	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3517	0	0
ATP13A1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	19756010;19756456;19756683;19757014;19757938;19758223;19758408;19760376;19760550;19762498;19763404;19764593;19764778;19765352;19765928;19766125;19766337;19766687;19766863;19767469;19767656;19767803;19768145;19770410;19770707;19774080	19756341;19756599;19756794;19757156;19758134;19758337;19758568;19760472;19760749;19762606;19763529;19764703;19764953;19765509;19766048;19766262;19766463;19766742;19766992;19767575;19767725;19767958;19768217;19770600;19770796;19774503	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3864	0	0
ZNF101	chr19;chr19;chr19;chr19	19779663;19788673;19789535;19789990	19779775;19788799;19789595;19791138	+;+;+;+	1450	0	0
ZNF14	chr19;chr19;chr19;chr19	19821281;19824900;19825170;19843765	19823898;19824960;19825296;19843921	-;-;-;-	2963	0	0
LOC284440	chr19;chr19;chr19	19867181;19873347;19887136	19869355;19873455;19887222	-;-;-	2371	0	0
ZNF506	chr19;chr19;chr19;chr19;chr19;chr19;chr19	19903520;19903520;19916840;19917751;19917751;19932410;19932410	19906469;19906469;19916935;19917877;19917877;19932560;19932560	-;-;-;-;-;-;-	3324	0	0
ZNF253	chr19;chr19;chr19;chr19	19976714;19989290;19990860;20002283	19976808;19989416;19990955;20004293	+;+;+;+	2329	0	0
ZNF93	chr19;chr19;chr19;chr19	20011722;20026089;20027369;20043991	20011900;20026215;20027464;20046382	+;+;+;+	2794	0	0
ZNF682	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	20115227;20115227;20133813;20133813;20135059;20135059;20149982;20150152	20118084;20118084;20133908;20133908;20135185;20135185;20150064;20150277	-;-;-;-;-;-;-;-	3290	0	0
ZNF90	chr19;chr19;chr19;chr19	20188803;20215048;20216030;20228590	20188944;20215174;20216125;20231977	+;+;+;+	3753	0	0
ZNF486	chr19;chr19;chr19;chr19	20278023;20295165;20296796;20307773	20278169;20295291;20296891;20311299	+;+;+;+	3897	0	0
MIR1270-1	chr19;chr19	20510081;20579240	20510163;20579322	-;-	166	0	0
MIR1270-2	chr19;chr19	20510081;20579240	20510163;20579322	-;-	166	0	0
ZNF826P	chr19;chr19;chr19	20578626;20591750;20607592	20579006;20591824;20607771	-;-;-	636	0	0
ZNF737	chr19;chr19;chr19;chr19	20720798;20735281;20736515;20748444	20728782;20735376;20736641;20748626	-;-;-;-	8391	0	0
ZNF626	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	20802745;20827509;20828490;20828490;20829085;20829085;20844250;20844250	20808456;20828254;20828585;20828585;20829211;20829211;20844402;20844402	-;-;-;-;-;-;-;-	6834	0	0
ZNF85	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	21106059;21106059;21106059;21106059;21106059;21106059;21116830;21116830;21116830;21116830;21116830;21117755;21117755;21117755;21117755;21117755;21117755;21125607;21125607;21125607;21129106;21131550;21131550;21131550	21106209;21106222;21106209;21106209;21106209;21106209;21116956;21116956;21116956;21116956;21116956;21117853;21117853;21117853;21117853;21117853;21117853;21126783;21126783;21126783;21129195;21133503;21133503;21133503	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3611	0	0
ZNF430	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	21203426;21203426;21205595;21205595;21216262;21216262;21216892;21216895;21239437;21239437	21203609;21203609;21205687;21205687;21216388;21216388;21216990;21216990;21242852;21242852	+;+;+;+;+;+;+;+;+;+	3919	0	0
ZNF714	chr19;chr19;chr19;chr19;chr19	21264953;21266784;21280991;21281618;21299613	21265154;21266875;21281117;21281716;21307883	+;+;+;+;+	8791	0	0
ZNF431	chr19;chr19;chr19;chr19;chr19	21324840;21326354;21349138;21350374;21365426	21324989;21326446;21349264;21350469;21368805	+;+;+;+;+	3846	0	0
ZNF708	chr19;chr19;chr19;chr19	21473963;21492048;21493303;21512012	21477541;21492143;21493429;21512212	-;-;-;-	4003	0	0
ZNF738	chr19;chr19;chr19;chr19;chr19	21541735;21544568;21558040;21558671;21560191	21541945;21544660;21558166;21558766;21571384	+;+;+;+;+	11721	0	0
ZNF493	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	21579921;21579921;21579921;21587931;21587931;21588560;21588563;21590275;21605715;21605715	21580069;21580069;21580069;21588057;21588057;21588658;21588658;21591601;21610296;21610296	+;+;+;+;+;+;+;+;+;+	6284	0	0
LOC400680	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	21666517;21668907;21672467;21673205;21674011;21676068;21676922;21677896;21679454;21681001;21684073	21666808;21668955;21672572;21673316;21674113;21676649;21677133;21678009;21679524;21681151;21686040	+;+;+;+;+;+;+;+;+;+;+	3760	0	0
ZNF429	chr19;chr19;chr19;chr19	21688437;21712460;21713391;21719082	21688576;21712586;21713486;21721079	+;+;+;+	2361	0	0
ZNF100	chr19;chr19;chr19;chr19;chr19	21906843;21926819;21927743;21948496;21950229	21910791;21926917;21927869;21948588;21950430	-;-;-;-;-	4470	0	0
LOC641367	chr19	21933547	21936240	+	2694	0	0
ZNF43	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	21987751;21987751;21987751;21987751;21987751;21987751;21987751;22000690;22000690;22000690;22000690;22000690;22000690;22000690;22001897;22001897;22001897;22001897;22001897;22018838;22018838;22025947;22025947;22025947;22028194;22028194;22028232;22033740;22033740;22034707;22034707;22034707;22034707;22034707	21992609;21992609;21992609;21992609;21992609;21992609;21992609;22000788;22000788;22000788;22000788;22000788;22000788;22000788;22002023;22002023;22002023;22002023;22002023;22019010;22019010;22026128;22026128;22026128;22028308;22028308;22028308;22033964;22033829;22034870;22034870;22034870;22034870;22034870	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5944	0	0
ZNF208	chr19;chr19;chr19;chr19	22148897;22170018;22171585;22193594	22157609;22170113;22171711;22193745	-;-;-;-	9088	0	0
ZNF257	chr19;chr19;chr19;chr19	22235266;22255611;22256271;22270779	22235437;22255737;22256366;22273903	+;+;+;+	3520	0	0
ZNF676	chr19;chr19;chr19	22361903;22375818;22379402	22364388;22375913;22379753	-;-;-	2934	0	0
ZNF729	chr19;chr19;chr19;chr19	22469252;22486560;22487490;22496473	22469357;22486686;22487585;22499978	+;+;+;+	3835	0	0
ZNF98	chr19;chr19;chr19;chr19	22573899;22585591;22586188;22604997	22575783;22585686;22586314;22605148	-;-;-;-	2260	0	0
LOC440518	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	22779059;22780086;22782231;22782508;22782970;22784162;22785099;22785405;22785590;22786021	22779221;22780202;22782338;22782595;22783088;22784840;22785317;22785507;22785694;22786352	+;+;+;+;+;+;+;+;+;+	2033	0	0
ZNF492	chr19;chr19;chr19;chr19	22817126;22836109;22836722;22846602	22817276;22836235;22836817;22850472	+;+;+;+	4245	0	0
ZNF99	chr19;chr19;chr19;chr19	22934985;22951107;22952000;22966816	22942484;22951202;22952126;22966973	-;-;-;-	7881	0	0
ZNF724P	chr19;chr19;chr19;chr19	23406607;23414068;23414969;23433042	23406820;23414163;23415095;23433172	-;-;-;-	568	0	0
ZNF91	chr19;chr19;chr19;chr19	23540498;23556544;23557440;23578127	23545527;23556639;23557566;23578269	-;-;-;-	5396	0	0
ZNF675	chr19;chr19;chr19;chr19	23835708;23844916;23845834;23869833	23837508;23845011;23845960;23870017	-;-;-;-	2209	0	0
ZNF681	chr19;chr19;chr19;chr19	23921997;23937625;23938227;23941549	23928125;23937720;23938353;23941693	-;-;-;-	6497	0	0
RPSAP58	chr19;chr19;chr19;chr19	23945816;23990628;23991521;24009872	23945936;23990741;23991616;24010919	+;+;+;+	1379	0	0
ZNF726	chr19;chr19;chr19;chr19	24097684;24102175;24102789;24115145	24097799;24102301;24102884;24116769	+;+;+;+	1964	0	0
ZNF254	chr19;chr19;chr19;chr19	24269976;24288742;24289350;24309056	24270139;24288868;24289445;24312654	+;+;+;+	3986	0	0
LOC100101266	chr19	24344995	24346249	-	1255	0	0
LOC148189	chr19;chr19;chr19	28281401;28283908;28284440	28282809;28284140;28284848	-;-;-	2051	0	0
LOC148145	chr19;chr19	29456038;29456837	29456262;29460055	+;+	3444	0	0
LOC100505835	chr19;chr19;chr19;chr19;chr19	29493462;29494509;29495081;29501638;29503418	29493530;29494647;29495159;29501853;29504862	+;+;+;+;+	1948	0	0
UQCRFS1	chr19;chr19	29698167;29703812	29699065;29704136	-;-	1224	0	0
LOC284395	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	29777918;29882328;29883789;29886241;29887314;29888077;29889532;29903682;29919638;30016331	29778469;29882515;29883982;29886490;29887858;29888238;29889621;29903873;29919717;30016659	-;-;-;-;-;-;-;-;-;-	2582	0	0
VSTM2B	chr19;chr19;chr19;chr19;chr19	30017491;30018118;30019340;30020726;30054753	30017572;30018302;30019369;30021197;30055226	+;+;+;+;+	1243	0	0
POP4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	30097170;30097170;30099564;30099564;30101316;30102769;30102769;30103024;30103024;30104778;30104778;30106151;30106151	30097232;30097232;30099616;30099616;30101539;30102846;30102846;30103085;30103085;30104879;30104879;30108162;30108162	+;+;+;+;+;+;+;+;+;+;+;+;+	2594	0	0
PLEKHF1	chr19;chr19	30156327;30164731	30156412;30166383	+;+	1739	0	0
C19orf12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	30189793;30189793;30189793;30189793;30189793;30189793;30189793;30193755;30196181;30199161;30199161;30199161;30199161;30199161;30205814;30205814;30206032;30206032;30206032;30206032;30206470	30193884;30193884;30193884;30193884;30193884;30193699;30193884;30193884;30196301;30199330;30199330;30199330;30199330;30199330;30205963;30205963;30206452;30206452;30206452;30206452;30206696	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5181	0	0
CCNE1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	30302901;30303439;30303596;30303876;30308044;30308313;30311609;30312629;30312903;30313147;30313353;30314562	30303059;30303485;30303683;30303944;30308189;30308448;30311755;30312724;30313037;30313258;30313510;30315215	+;+;+;+;+;+;+;+;+;+;+;+	1947	0	0
URI1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	30414551;30433146;30433146;30462100;30462100;30476130;30476130;30476130;30477189;30477189;30477189;30496268;30496268;30496268;30496558;30496558;30496558;30498377;30498377;30498377;30499912;30499912;30499912;30502001;30502001;30502001;30503192;30503192;30503192;30505794;30505794;30506443	30414661;30433571;30433571;30462134;30462134;30476208;30476208;30476208;30477324;30477324;30477324;30496359;30496359;30496359;30496615;30496615;30496615;30498545;30498545;30498545;30500260;30500260;30500260;30502143;30502143;30502143;30503438;30503438;30503438;30507519;30507519;30507519	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3571	0	0
ZNF536	chr19;chr19;chr19;chr19;chr19	30863328;30934468;31025754;31038850;31048064	30863463;30936639;31025906;31040421;31048965	+;+;+;+;+	4935	0	0
DKFZp566F0947	chr19	31640783	31641311	+	529	0	0
TSHZ3	chr19;chr19	31765851;31840086	31770658;31840190	-;-	4913	0	0
THEG5	chr19;chr19	32083187;32083561	32083248;32083945	+;+	447	0	0
ZNF507	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	32836514;32836514;32838151;32843735;32843735;32847522;32847522;32851410;32851410;32873373;32873373;32873623;32873623	32836689;32836689;32838244;32845863;32845863;32847639;32847639;32851524;32851524;32873507;32873507;32878573;32878573	+;+;+;+;+;+;+;+;+;+;+;+;+	7718	0	0
LOC400684	chr19;chr19;chr19	32880956;32890657;32895897	32881239;32890774;32896445	-;-;-	951	0	0
DPY19L3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	32896655;32897022;32899123;32899123;32902145;32902145;32923622;32923622;32927352;32927352;32928100;32928100;32930018;32930018;32930682;32930682;32944051;32944051;32945845;32945845;32949006;32949006;32949257;32949257;32954272;32954272;32954775;32954775;32955634;32955634;32959637;32959637;32968428;32968428;32971305;32971305;32972985;32972985	32896815;32897208;32899262;32899262;32902278;32902278;32923712;32923712;32927473;32927473;32928245;32928245;32930141;32930141;32930816;32930816;32944182;32944182;32945946;32945946;32949079;32949079;32949415;32949415;32954394;32954394;32954886;32954886;32955690;32955690;32959719;32959719;32968560;32968560;32971463;32971463;32976799;32976799	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6189	0	0
PDCD5	chr19;chr19;chr19;chr19;chr19;chr19	33072094;33073101;33075856;33076722;33077764;33078159	33072233;33073138;33075917;33076813;33077835;33078358	+;+;+;+;+;+	604	0	0
ANKRD27	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33087907;33090610;33090878;33092921;33095169;33096741;33098541;33106564;33108495;33110166;33110400;33113328;33116780;33117618;33118989;33119628;33122308;33130262;33131213;33132930;33134029;33134193;33134337;33134478;33135231;33137365;33140588;33149820;33165977	33089284;33090682;33090956;33093032;33095330;33096860;33098738;33106686;33108539;33110285;33110459;33113525;33116872;33117733;33119071;33119755;33122400;33130394;33131291;33133051;33134105;33134258;33134390;33134537;33135385;33137521;33140698;33149951;33166102	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4453	0	0
RGS9BP	chr19	33166313	33169206	+	2894	0	0
NUDT19	chr19;chr19;chr19	33182867;33200091;33202658	33183580;33200298;33204702	+;+;+	2967	0	0
TDRD12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33210679;33222631;33229762;33233687;33239382;33240690;33246898;33247944;33263659;33264362;33268055;33281437;33281580	33211002;33222789;33229898;33233806;33239437;33240775;33247087;33248036;33263756;33264438;33268135;33281497;33281714	+;+;+;+;+;+;+;+;+;+;+;+;+	1617	0	0
SLC7A9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33321419;33321419;33321419;33324055;33324055;33324055;33333074;33333074;33333074;33334761;33334761;33334761;33349346;33349346;33349346;33350747;33350747;33350747;33351512;33351512;33351512;33353024;33353024;33353024;33353367;33353367;33353367;33355002;33355002;33355002;33355535;33355535;33355535;33359354;33359354;33359354;33360583;33360592;33360592	33321590;33321590;33321590;33324229;33324229;33324229;33333223;33333223;33333223;33334857;33334857;33334857;33349449;33349449;33349449;33350870;33350870;33350870;33351556;33351556;33351556;33353123;33353123;33353123;33353492;33353492;33353492;33355244;33355244;33355244;33355682;33355682;33355682;33359465;33359551;33359551;33360683;33360683;33360683	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1783	0	0
CEP89	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33369904;33372750;33378658;33390763;33392151;33406243;33409130;33414345;33417096;33417840;33422335;33424357;33428537;33430763;33439172;33444521;33450806;33457266;33462742	33370284;33372919;33378747;33390904;33392318;33406423;33409245;33414448;33417179;33417890;33422477;33424575;33428579;33430791;33439274;33444707;33450964;33457372;33462869	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2605	0	0
C19orf40	chr19;chr19;chr19;chr19;chr19	33463148;33464090;33464332;33464966;33467337	33463252;33464208;33464468;33465118;33467960	+;+;+;+;+	1138	0	0
RHPN2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33469498;33481420;33482729;33484883;33486932;33490492;33493153;33493719;33498920;33502585;33503553;33512477;33517410;33535155;33555690	33471162;33481575;33482875;33484959;33487126;33490611;33493309;33493906;33499086;33502709;33503630;33512552;33517538;33535270;33555824	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3531	0	0
GPATCH1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33571786;33579040;33581686;33584265;33585078;33586668;33587113;33588661;33592401;33597601;33600623;33602630;33603392;33604673;33605159;33608731;33609916;33616011;33617494;33621036	33572172;33579174;33581771;33584425;33585175;33586726;33587352;33588808;33592480;33597805;33600922;33602808;33603519;33604809;33605325;33608947;33610023;33616108;33617639;33621318	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3362	0	0
WDR88	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33622998;33628583;33635750;33638551;33639678;33642087;33647261;33651320;33655103;33663254;33666302	33623351;33628693;33635838;33638614;33639816;33642216;33647448;33651402;33655171;33663346;33666703	+;+;+;+;+;+;+;+;+;+;+	1722	0	0
LRP3	chr19;chr19;chr19;chr19;chr19;chr19;chr19	33685599;33687636;33693754;33695544;33696152;33697507;33697894	33685764;33687683;33693892;33695758;33697268;33697639;33699773	+;+;+;+;+;+;+	3698	0	0
SLC7A10	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	33699570;33700214;33701373;33701708;33702131;33702320;33703198;33703420;33703757;33706675;33716459	33699927;33700391;33701522;33701804;33702234;33702443;33703351;33703545;33703908;33706879;33716756	-;-;-;-;-;-;-;-;-;-;-	1946	0	0
CEBPA	chr19	33790840	33793430	-	2591	0	0
LOC80054	chr19	33793763	33795963	+	2201	0	0
CEBPG	chr19;chr19;chr19;chr19	33864575;33865430;33870050;33870050	33864801;33865519;33873592;33873592	+;+;+;+	3860	0	0
